Label	subjectText	subjectType
DREB1	StDREB1	Gene_or_Protein
DXS	DXS	Gene_or_Protein
DXS	DXS1	Gene_or_Protein
DXS	DXS2	Gene_or_Protein
EBP1	EBP1	Gene_or_Protein
EBP1	StEBP1	Gene_or_Protein
EBP1	StEBP1/MICRO.127.C2	Gene_or_Protein
ED3h	ED3h	Gene_or_Protein
EH1	StEH1	Gene_or_Protein
EIN2	EIN2	Gene_or_Protein
epidermal	epidermal	Gene_or_Protein
epoxide hydrolase	epoxide hydrolase	Gene_or_Protein
epoxide hydrolase	epoxide hydrolase I	Gene_or_Protein
epoxide hydrolase	Epoxide hydrolases	Gene_or_Protein
EPR1	EPR1	Gene_or_Protein
epsilon-cyclase	epsilon-cyclase	Gene_or_Protein
epsilon-cyclase	ε-cyclase	Gene_or_Protein
eucaryotic	eucaryotic	Gene_or_Protein
exo-galactanase	exo-galactanase	Gene_or_Protein
expansin	expansin	Gene_or_Protein
expansin	LeEXP10	Gene_or_Protein
expansin	LeEXP4	Gene_or_Protein
expansin	LeEXP8	Gene_or_Protein
expansin	LeEXPA2	Gene_or_Protein
f1-v	f1-v	Gene_or_Protein
F3H	F3H	Gene_or_Protein
F5H	F5H	Gene_or_Protein
ferulate 5-hydroxylase	ferulate 5-hydroxylase	Gene_or_Protein
ferulate 5-hydroxylase	ferulate 5-hydroxylase;	Gene_or_Protein
fibrillin	fibrillin	Gene_or_Protein
flavanone-3'5'-hydroxylase	flavanone-3'5'-hydroxylase	Gene_or_Protein
flavonoid	flavonoid	Gene_or_Protein
flavonoid-3',5'-hydroxylase	flavonoid-3',5'-hydroxylase	Gene_or_Protein
flavonoid-3-hydroxylase	FLAVONOID 3-HYDROXYLASE	Gene_or_Protein
flavonoid-3-hydroxylase	flavonoid-3′-hydroxylase;	Gene_or_Protein
flavonol synthase	flavonol synthase	Gene_or_Protein
flavonone-3-hydroxylase	Flavonone-3-hydroxylase	Gene_or_Protein
flavonone-3-hydroxylase	flavonone-3-hydroxylase;	Gene_or_Protein
flavoproteinmonooxygenase	flavoproteinmonooxygenase	Gene_or_Protein
FLS	FLS	Gene_or_Protein
FLS	FLS2	Gene_or_Protein
formate dehydrogenase	FDH	Gene_or_Protein
formate dehydrogenase	FDH;	Gene_or_Protein
formate dehydrogenase	Formate dehydrogenase	Gene_or_Protein
FoxO1	FoxO1	Gene_or_Protein
Frk2	Frk2	Gene_or_Protein
G6P	G6P	Gene_or_Protein
G6PDH	G6PDH	Gene_or_Protein
GA2	STGA2	Gene_or_Protein
GA2	StGA2ox1	Gene_or_Protein
GA20	GA20	Gene_or_Protein
GA3	GA3	Gene_or_Protein
GA3	StGA3ox	Gene_or_Protein
GA3	StGA3ox2	Gene_or_Protein
GA3ox1	GA3ox1	Gene_or_Protein
galactono-1,4-lactone dehydrogenase	galactono-1,4-lactone dehydrogenase	Gene_or_Protein
GB2	STGB2	Gene_or_Protein
GBSS	GBSS	Gene_or_Protein
GBSS	GBSSI	Gene_or_Protein
GCPE	GCPE	Gene_or_Protein
GDP-d-mannose 3,5-epimerase	GDP-d-mannose 3,5-epimerase	Gene_or_Protein
geranylgeranyl diphosphate synthase	geranylgeranyl diphosphate	Gene_or_Protein
